trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
98,0,98,0,192.08907459990587,,192.0452304999344,5,192.08907459990587,192.08907459990587,0.01774049992673099,193.1602017999394,[-0.3433333333333333],[-0.006666666666666667],[1],[0],[0],[1.0973321999190375],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
99,0,99,0,193.2225288999034,,193.16268979990855,10,193.2225288999034,193.2225288999034,0.03535880008712411,194.6100015999982,[0.325],[-0.25333333333333335],[1],[0],[0],[1.4122651999350637],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
100,0,100,0,194.6562385999132,,194.61229229997844,5,194.6562385999132,194.6562385999132,0.021527400007471442,196.0118400999345,[-0.4716666666666667],[0.055],[1],[0],[0],[1.3782398999901488],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
101,0,101,0,196.07333289994858,,196.0141320999246,10,196.07333289994858,196.07333289994858,0.03275949996896088,197.42900459992234,[0.04666666666666667],[0.06166666666666667],[1],[0],[0],[1.3823544000042602],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
102,0,102,0,197.4905931999674,,197.43133049993776,10,197.4905931999674,197.4905931999674,0.032390099950134754,198.53388519992586,[0.145],[0.22333333333333333],[1],[0],[0],[1.070070800022222],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
103,0,103,0,198.57526249997318,,198.53843949991278,5,198.57526249997318,198.57526249997318,0.020991099998354912,200.19641219999176,[-0.41],[-0.37833333333333335],[1],[0],[0],[1.6378839000826702],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
104,0,104,0,200.22549969993997,,200.19871459994465,5,200.22549969993997,200.22549969993997,0.016702999942936003,201.71205889992416,[0.405],[-0.3416666666666667],[1],[0],[0],[1.496816199971363],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
105,0,105,0,201.7424055999145,,201.71448029996827,5,201.7424055999145,201.7424055999145,0.01578080002218485,202.9141791999573,[-0.17833333333333334],[0.32166666666666666],[1],[0],[0],[1.1842013000277802],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
106,0,106,0,202.97636139998212,,202.91648039990105,10,202.97636139998212,202.97636139998212,0.03628529992420226,206.1813978999853,[-0.5233333333333333],[-0.2866666666666667],[1],[0],[0],[3.228902000002563],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
107,0,107,0,206.21063869993668,,206.1842327999184,5,206.21063869993668,206.21063869993668,0.014112700009718537,207.36625249998178,[0.40166666666666667],[-0.2633333333333333],[1],[0],[0],[1.1681840000674129],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
108,0,108,0,207.4280235999031,,207.36854769999627,10,207.4280235999031,207.4280235999031,0.036057300050742924,208.78391140000895,[0.14333333333333334],[0.115],[1],[0],[0],[1.3795359000796452],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
109,0,109,0,208.82912299991585,,208.7877214999171,5,208.82912299991585,208.82912299991585,0.02101199992466718,210.00036629999522,[-0.2833333333333333],[-0.05],[1],[0],[0],[1.1923481000121683],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
110,0,110,0,210.0455991999479,,210.00289040000644,5,210.0455991999479,210.0455991999479,0.018120500026270747,212.09926299995277,[0.06],[0.15],[1],[0],[0],[2.0785584000404924],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
111,0,111,0,212.16329419997055,,212.1015947998967,10,212.16329419997055,212.16329419997055,0.03495440003462136,214.15092499996535,[-0.48333333333333334],[-0.043333333333333335],[1],[0],[0],[2.014709400013089],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
112,0,112,0,214.21418159990571,,214.15364989999216,10,214.21418159990571,214.21418159990571,0.03265729988925159,216.01851849991363,[-0.03],[0.355],[1],[0],[0],[1.8324179999763146],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
113,0,113,0,216.06528039998375,,216.02140859991778,5,216.06528039998375,216.06528039998375,0.020230900030583143,217.7545633999398,[0.23666666666666666],[0.23],[1],[0],[0],[1.713221300044097],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
